epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,7931.72,1.22649,1.45428,1.49292,0.73808,0.42533,0.47817,0.24272,1.44003,1.72182,1.99564,0.000643625,0.000643625,0.000643625
100,8035.68,1.22988,1.38721,1.45382,0.39385,0.53078,0.44223,0.23365,1.48202,1.78405,2.00837,0.000637437,0.000637437,0.000637437
101,8102.89,1.22141,1.46927,1.51925,0.29635,0.52798,0.36316,0.19428,1.35472,1.83561,1.92383,0.00063125,0.00063125,0.00063125
102,8171.18,1.17942,1.42651,1.46928,0.45212,0.47928,0.38309,0.20105,1.37097,1.75982,1.96753,0.000625062,0.000625062,0.000625062
103,8344.54,1.15387,1.35651,1.42883,0.40788,0.4767,0.4079,0.22397,1.33,1.7139,1.96187,0.000618875,0.000618875,0.000618875
104,8412.56,1.20447,1.38129,1.47317,0.44317,0.40794,0.39534,0.21043,1.31494,1.73174,1.91227,0.000612687,0.000612687,0.000612687
105,8483.08,1.19649,1.37626,1.48918,0.45495,0.452,0.39345,0.21796,1.3559,1.7147,1.96947,0.0006065,0.0006065,0.0006065
106,8590.63,1.17039,1.43819,1.42809,0.38098,0.47173,0.37521,0.22201,1.24846,1.69988,1.83608,0.000600313,0.000600313,0.000600313
107,8657.95,1.23225,1.43562,1.46155,0.48456,0.35989,0.38363,0.23514,1.29996,1.64044,1.83602,0.000594125,0.000594125,0.000594125
108,8714.45,1.14861,1.30546,1.39888,0.5403,0.45439,0.43669,0.27851,1.35563,1.54474,1.96039,0.000587938,0.000587938,0.000587938
109,8836.49,1.16136,1.38613,1.4281,0.51451,0.41358,0.39162,0.23704,1.43788,1.6851,2.04836,0.00058175,0.00058175,0.00058175
110,8904.33,1.1987,1.40307,1.48245,0.58828,0.35498,0.4057,0.25135,1.43768,1.59585,2.02757,0.000575563,0.000575563,0.000575563
111,8970.9,1.16858,1.31878,1.39659,0.49523,0.37989,0.38857,0.23498,1.42623,1.54718,2.03477,0.000569375,0.000569375,0.000569375
112,9081.52,1.17649,1.34268,1.46437,0.49044,0.47664,0.44091,0.26806,1.42382,1.57545,1.98106,0.000563187,0.000563187,0.000563187
113,9150.2,1.16418,1.33465,1.42283,0.50036,0.47885,0.50918,0.28648,1.44162,1.54761,2.05303,0.000557,0.000557,0.000557
114,9222.39,1.08371,1.27212,1.38568,0.49049,0.54646,0.48527,0.26828,1.36644,1.51625,1.95344,0.000550813,0.000550813,0.000550813
115,9505.53,1.14744,1.29104,1.42516,0.46966,0.45244,0.43612,0.25167,1.34059,1.53544,1.93189,0.000544625,0.000544625,0.000544625
116,9561.3,1.10675,1.27555,1.44314,0.46925,0.48981,0.45706,0.26742,1.36788,1.4923,1.94684,0.000538438,0.000538438,0.000538438
117,9628.1,1.12418,1.23244,1.40347,0.66127,0.47035,0.48461,0.30832,1.33249,1.44699,1.89743,0.00053225,0.00053225,0.00053225
118,9747.71,1.12922,1.29789,1.46108,0.48762,0.50838,0.46638,0.30278,1.29848,1.37457,1.87083,0.000526063,0.000526063,0.000526063
119,9818.18,1.10724,1.32238,1.44164,0.39734,0.61495,0.41899,0.26664,1.29621,1.50752,1.84181,0.000519875,0.000519875,0.000519875
120,9885.04,1.12336,1.25321,1.39104,0.42381,0.38807,0.35965,0.22529,1.31736,1.70977,1.82882,0.000513688,0.000513688,0.000513688
121,10154.7,1.08689,1.21376,1.37467,0.4577,0.40234,0.38088,0.25396,1.25225,1.68007,1.81995,0.0005075,0.0005075,0.0005075
122,10208.5,1.10414,1.21784,1.42138,0.43495,0.50998,0.39993,0.24302,1.37706,1.62077,1.92525,0.000501313,0.000501313,0.000501313
123,10260.8,1.10331,1.26809,1.40561,0.48709,0.43543,0.44303,0.28647,1.34519,1.49095,1.84616,0.000495125,0.000495125,0.000495125
124,10325,1.12865,1.30623,1.42635,0.52329,0.49544,0.51212,0.27885,1.42289,1.52529,1.96259,0.000488938,0.000488938,0.000488938
125,10619.7,1.03563,1.15857,1.36337,0.51337,0.44501,0.46884,0.28515,1.38364,1.52399,1.88634,0.00048275,0.00048275,0.00048275
126,10689.4,1.05909,1.13717,1.33608,0.53986,0.4405,0.44059,0.26655,1.33621,1.56878,1.85333,0.000476562,0.000476562,0.000476562
127,10756.6,1.0723,1.14492,1.37385,0.61483,0.47566,0.44678,0.26966,1.32482,1.50076,1.90224,0.000470375,0.000470375,0.000470375
128,10874.1,1.11806,1.2323,1.39777,0.5297,0.42143,0.42206,0.26608,1.39302,1.61792,1.89958,0.000464188,0.000464188,0.000464188
129,10942.5,1.07034,1.15377,1.37402,0.59063,0.4089,0.48648,0.2972,1.38178,1.55518,1.91888,0.000458,0.000458,0.000458
130,11012,1.06942,1.23648,1.3844,0.486,0.55318,0.50205,0.30161,1.42679,1.55058,2.01248,0.000451813,0.000451813,0.000451813
131,11317.9,1.01921,1.09421,1.33264,0.57227,0.50274,0.51127,0.28649,1.38455,1.48558,1.96499,0.000445625,0.000445625,0.000445625
132,11379.1,1.0195,1.11368,1.3238,0.43739,0.56732,0.46271,0.2672,1.32784,1.44299,1.88623,0.000439437,0.000439437,0.000439437
133,11454.7,1.04342,1.15063,1.3649,0.51887,0.5055,0.49662,0.29047,1.36696,1.44377,1.9156,0.00043325,0.00043325,0.00043325
134,11568.9,1.05324,1.22044,1.35757,0.48023,0.48298,0.48267,0.28795,1.29886,1.36943,1.85158,0.000427062,0.000427062,0.000427062
135,11622,1.11401,1.16569,1.35617,0.49618,0.49154,0.45203,0.28135,1.23562,1.39978,1.81403,0.000420875,0.000420875,0.000420875
136,11686.1,0.99755,1.16432,1.30435,0.55629,0.44696,0.46085,0.2756,1.32948,1.46917,1.91496,0.000414688,0.000414688,0.000414688
137,11789,1.06709,1.16855,1.36589,0.48213,0.4733,0.46479,0.28487,1.38121,1.50178,1.98979,0.0004085,0.0004085,0.0004085
