epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2967.18,0.95842,1.12104,1.26179,0.5902,0.56409,0.50625,0.30717,1.24545,1.59886,1.81852,0.0003095,0.0003095,0.0003095
78,3005.24,0.99306,1.10832,1.26461,0.58609,0.55184,0.49956,0.29912,1.24672,1.59899,1.80411,0.000297125,0.000297125,0.000297125
79,3043.56,0.93621,1.07258,1.22536,0.5455,0.58766,0.49913,0.3038,1.22406,1.59726,1.78981,0.00028475,0.00028475,0.00028475
80,3081.29,0.94448,1.10882,1.22155,0.49766,0.59312,0.48369,0.29558,1.17477,1.60672,1.73655,0.000272375,0.000272375,0.000272375
81,3119.5,0.93665,1.09169,1.22516,0.50632,0.57361,0.50196,0.3136,1.20147,1.63367,1.76378,0.00026,0.00026,0.00026
82,3157.55,0.95628,1.08599,1.24198,0.58299,0.5384,0.49744,0.31154,1.21396,1.65576,1.78778,0.000247625,0.000247625,0.000247625
83,3195.39,0.93944,1.10399,1.23044,0.54311,0.56035,0.49123,0.31061,1.21316,1.66188,1.78426,0.00023525,0.00023525,0.00023525
84,3233.04,0.95631,1.10213,1.27743,0.46877,0.54414,0.47249,0.306,1.19284,1.62943,1.72968,0.000222875,0.000222875,0.000222875
85,3270.86,0.91006,1.05262,1.18081,0.43825,0.58199,0.46836,0.31262,1.18536,1.68853,1.71218,0.0002105,0.0002105,0.0002105
86,3308.92,0.95792,1.07686,1.24022,0.51073,0.52932,0.48627,0.32053,1.1826,1.68954,1.72406,0.000198125,0.000198125,0.000198125
87,3346.66,0.88016,1.05927,1.21571,0.53801,0.5631,0.51453,0.32428,1.15854,1.66619,1.69749,0.00018575,0.00018575,0.00018575
88,3384.71,0.92694,1.05388,1.20159,0.60336,0.54736,0.5373,0.33091,1.13619,1.61217,1.67615,0.000173375,0.000173375,0.000173375
89,3422.55,0.8741,0.99318,1.199,0.61609,0.53763,0.54635,0.32877,1.13709,1.63497,1.66733,0.000161,0.000161,0.000161
90,3460.57,0.84512,0.99132,1.17996,0.63951,0.53218,0.53987,0.3123,1.15652,1.6288,1.66769,0.000148625,0.000148625,0.000148625
91,3498.21,0.81558,1.01477,1.19092,0.63204,0.50707,0.52795,0.29646,1.16792,1.68785,1.65494,0.00013625,0.00013625,0.00013625
92,3536.81,0.80446,0.98423,1.17542,0.53687,0.49725,0.50461,0.28575,1.21474,1.75497,1.72908,0.000123875,0.000123875,0.000123875
93,3576.6,0.79524,0.99212,1.1541,0.50208,0.55522,0.49157,0.2754,1.21379,1.8058,1.74872,0.0001115,0.0001115,0.0001115
94,3617.48,0.75615,0.92993,1.16374,0.52914,0.53055,0.48822,0.2823,1.20771,1.78448,1.75128,9.9125e-05,9.9125e-05,9.9125e-05
95,3657.52,0.73514,0.89467,1.09429,0.56202,0.5412,0.49137,0.2932,1.17853,1.76449,1.72444,8.675e-05,8.675e-05,8.675e-05
96,3697.58,0.75194,0.88951,1.13361,0.5414,0.55217,0.50043,0.29781,1.16392,1.71995,1.71975,7.4375e-05,7.4375e-05,7.4375e-05
97,3737.2,0.75779,0.88251,1.14614,0.62438,0.49892,0.51071,0.30376,1.16995,1.71884,1.72864,6.2e-05,6.2e-05,6.2e-05
98,3776.74,0.72973,0.86992,1.11513,0.54834,0.5537,0.51022,0.29515,1.18581,1.71702,1.74448,4.9625e-05,4.9625e-05,4.9625e-05
99,3815.82,0.74385,0.87441,1.11161,0.53629,0.56952,0.50984,0.29753,1.18446,1.70804,1.74186,3.725e-05,3.725e-05,3.725e-05
100,3857.84,0.75074,0.86481,1.12418,0.55177,0.56585,0.51238,0.29875,1.18934,1.7045,1.74276,2.4875e-05,2.4875e-05,2.4875e-05
